2025-11-10 17:00:10, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:00:20, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:00:20, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:00:22, MOVE, v:1, k:poo@budega, mode:BACK
2025-11-10 17:00:27, MOVE, v:1, k:poo@budega, mode:PICK
2025-11-10 17:00:28, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:00:29, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:13:47, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:13:48, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:13:48, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:13:50, MOVE, v:1, k:poo@budega, mode:BACK
2025-11-10 17:20:14, MOVE, v:1, k:poo@budega, mode:PICK
2025-11-10 17:20:14, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:20:15, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:20:15, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:20:17, MOVE, v:1, k:poo@budega, mode:BACK
2025-11-10 17:20:35, MOVE, v:1, k:poo@budega, mode:PICK
2025-11-10 17:20:38, EXEC, v:1, k:poo@budega, mode:FULL, rate:0, size:13
2025-11-10 17:20:39, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:20:39, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:20:40, MOVE, v:1, k:poo@budega, mode:BACK
2025-11-10 17:20:41, MOVE, v:1, k:poo@budega, mode:PICK
2025-11-10 17:20:42, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:20:42, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:24:10, EXEC, v:1, k:poo@budega, mode:FULL, rate:0, size:13
2025-11-10 17:24:12, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:24:44, EXEC, v:1, k:poo@budega, mode:FULL, rate:0, size:24
2025-11-10 17:24:47, EXEC, v:1, k:poo@budega, mode:FULL, rate:0
2025-11-10 17:27:48, EXEC, v:1, k:poo@budega, mode:FULL, rate:0, size:56
2025-11-10 17:28:44, EXEC, v:1, k:poo@budega, mode:FULL, rate:10, size:58
2025-11-10 17:29:35, EXEC, v:1, k:poo@budega, mode:FULL, rate:30, size:68
2025-11-10 17:29:38, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 17:29:47, MOVE, v:1, k:poo@budega, mode:BACK
2025-11-10 17:37:19, MOVE, v:1, k:poo@budega, mode:PICK
2025-11-10 17:37:19, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 17:37:21, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 17:37:22, MOVE, v:1, k:poo@budega, mode:BACK
2025-11-10 17:37:26, MOVE, v:1, k:poo@budega, mode:PICK
2025-11-10 17:37:27, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 17:37:28, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 17:37:30, MOVE, v:1, k:poo@budega, mode:BACK
2025-11-10 17:57:02, MOVE, v:1, k:poo@budega, mode:PICK
2025-11-10 17:57:04, EXEC, v:1, k:poo@budega, mode:FULL, rate:30, size:72
2025-11-10 17:57:34, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 17:57:49, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 17:58:41, EXEC, v:1, k:poo@budega, mode:FULL, rate:0, size:72
2025-11-10 17:58:42, EXEC, v:1, k:poo@budega, mode:FULL, rate:0, size:74
2025-11-10 17:58:49, EXEC, v:1, k:poo@budega, mode:FULL, rate:0, size:69
2025-11-10 17:58:55, EXEC, v:1, k:poo@budega, mode:FULL, rate:30, size:69
2025-11-10 19:01:39, MOVE, v:1, k:poo@budega, mode:PICK
2025-11-10 19:01:40, EXEC, v:1, k:poo@budega, mode:FULL, rate:30, size:68
2025-11-10 19:01:41, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 19:01:43, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 19:01:44, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 19:01:49, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 19:01:51, MOVE, v:1, k:poo@budega, mode:BACK
2025-11-10 19:01:53, MOVE, v:1, k:poo@budega, mode:PICK
2025-11-10 19:05:25, EXEC, v:1, k:poo@budega, mode:FULL, rate:30, size:73
2025-11-10 19:05:26, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 19:05:28, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 19:05:43, MOVE, v:1, k:poo@budega, mode:BACK
2025-11-10 19:06:02, MOVE, v:1, k:poo@budega, mode:PICK
2025-11-10 19:06:04, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 19:06:29, EXEC, v:1, k:poo@budega, mode:FULL, rate:30, size:68
2025-11-10 19:08:33, EXEC, v:1, k:poo@budega, mode:FULL, rate:30, size:70
2025-11-10 19:09:39, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 19:09:41, MOVE, v:1, k:poo@budega, mode:BACK
2025-11-10 19:24:31, MOVE, v:1, k:poo@budega, mode:PICK
2025-11-10 19:24:32, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 19:24:33, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 19:24:34, MOVE, v:1, k:poo@budega, mode:BACK
2025-11-10 19:52:33, MOVE, v:1, k:poo@budega, mode:PICK
2025-11-10 19:52:34, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 19:52:41, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 19:52:42, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 19:52:43, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 19:52:45, MOVE, v:1, k:poo@budega, mode:BACK
2025-11-10 19:53:50, MOVE, v:1, k:poo@budega, mode:PICK
2025-11-10 19:53:51, EXEC, v:1, k:poo@budega, mode:FULL, rate:30, size:93
2025-11-10 19:53:54, EXEC, v:1, k:poo@budega, mode:FULL, rate:30
2025-11-10 19:54:13, MOVE, v:1, k:poo@budega, mode:PICK
2025-11-10 19:54:15, EXEC, v:1, k:poo@budega, mode:FULL, rate:30, size:70
2025-11-10 19:55:31, EXEC, v:1, k:poo@budega, mode:FULL, rate:100, size:112
2025-11-10 19:56:19, EXEC, v:1, k:poo@budega, mode:FULL, rate:100
2025-11-10 19:56:21, EXEC, v:1, k:poo@budega, mode:FULL, rate:100
2025-11-10 19:56:29, MOVE, v:1, k:poo@budega, mode:BACK
2025-11-10 19:56:35, MOVE, v:1, k:poo@budega, mode:PICK
2025-11-10 19:56:46, EXEC, v:1, k:poo@budega, mode:FULL, rate:100, size:113
2025-11-10 19:56:48, MOVE, v:1, k:poo@budega, mode:BACK
2025-11-10 20:00:14, SELF, v:1, k:poo@budega, rate:100, other:aula_de_resolucao, alone:9, study:300
